[Nest] 5400  - 24/01/2026, 02:17:10    WARN [ExternalApiService] Secondary specs fetch failed for Apple iPad Air 11 (2024): External API Error from gsmarenaparser.p.rapidapi.com: You have exceeded the rate limit per minute for your plan, BASIC, by the API provider
[Nest] 5400  - 24/01/2026, 02:17:10    WARN [SyncService] Failed to sync device iPad Air 11 (2024): Device specifications not found in any selected provider
[Nest] 5400  - 24/01/2026, 02:17:10   DEBUG [SyncService] Deep syncing specs for Apple iPhone 15 Pro Max...
[Nest] 5400  - 24/01/2026, 02:17:10     LOG [HTTP] GET /brands 288ms
[Nest] 5400  - 24/01/2026, 02:17:10   ERROR [ExternalApiService] Request to gsmarenaparser.p.rapidapi.com failed: 429 - You have exceeded the rate limit per minute for your plan, BASIC, by the API provider
[Nest] 5400  - 24/01/2026, 02:17:10    WARN [ExternalApiService] Secondary specs fetch failed for Apple iPhone 15 Pro Max: External API Error from gsmarenaparser.p.rapidapi.com: You have exceeded the rate limit per minute for your plan, BASIC, by the API provider
[Nest] 5400  - 24/01/2026, 02:17:10    WARN [SyncService] Failed to sync device iPhone 15 Pro Max: Device specifications not found in any selected provider
[Nest] 5400  - 24/01/2026, 02:17:10   DEBUG [SyncService] Deep syncing specs for Apple iPhone 15 Pro...
[Nest] 5400  - 24/01/2026, 02:17:10     LOG [HTTP] GET /brands 243ms
[Nest] 5400  - 24/01/2026, 02:17:10   ERROR [ExternalApiService] Request to gsmarenaparser.p.rapidapi.com failed: 429 - You have exceeded the rate limit per minute for your plan, BASIC, by the API provider
[Nest] 5400  - 24/01/2026, 02:17:10    WARN [ExternalApiService] Secondary specs fetch failed for Apple iPhone 15 Pro: External API Error from gsmarenaparser.p.rapidapi.com: You have exceeded the rate limit per minute for your plan, BASIC, by the API provider
[Nest] 5400  - 24/01/2026, 02:17:10    WARN [SyncService] Failed to sync device iPhone 15 Pro: Device specifications not found in any selected provider
[Nest] 5400  - 24/01/2026, 02:17:10   DEBUG [SyncService] Deep syncing specs for Apple iPhone 15 Plus...
[Nest] 5400  - 24/01/2026, 02:17:11   DEBUG [SyncService] Deep syncing specs for Apple iPhone 15...
[Nest] 5400  - 24/01/2026, 02:17:11   ERROR [ExternalApiService] Request to gsmarenaparser.p.rapidapi.com failed: 429 - You have exceeded the rate limit per minute for your plan, BASIC, by the API provider
[Nest] 5400  - 24/01/2026, 02:17:11    WARN [ExternalApiService] Secondary specs fetch failed for Apple iPhone 15: External API Error from gsmarenaparser.p.rapidapi.com: You have exceeded the rate limit per minute for your plan, BASIC, by the API provider
[Nest] 5400  - 24/01/2026, 02:17:11    WARN [SyncService] Failed to sync device iPhone 15: Device specifications not found in any selected provider
[Nest] 5400  - 24/01/2026, 02:17:11   DEBUG [SyncService] Deep syncing specs for Apple Watch Ultra 2...
[Nest] 5400  - 24/01/2026, 02:17:12   ERROR [ExternalApiService] Request to gsmarenaparser.p.rapidapi.com failed: 429 - You have exceeded the rate limit per minute for your plan, BASIC, by the API provider
[Nest] 5400  - 24/01/2026, 02:17:12    WARN [ExternalApiService] Secondary specs fetch failed for Apple Watch Ultra 2: External API Error from gsmarenaparser.p.rapidapi.com: You have exceeded the rate limit per minute for your plan, BASIC, by the API provider
[Nest] 5400  - 24/01/2026, 02:17:12    WARN [SyncService] Failed to sync device Watch Ultra 2: Device specifications not found in any selected provider
[Nest] 5400  - 24/01/2026, 02:17:12   DEBUG [SyncService] Deep syncing specs for Apple Watch Series 9...
[Nest] 5400  - 24/01/2026, 02:17:12   ERROR [ExternalApiService] Request to gsmarenaparser.p.rapidapi.com failed: 429 - You have exceeded the rate limit per minute for your plan, BASIC, by the API provider
[Nest] 5400  - 24/01/2026, 02:17:12    WARN [ExternalApiService] Secondary specs fetch failed for Apple Watch Series 9: External API Error from gsmarenaparser.p.rapidapi.com: You have exceeded the rate limit per minute for your plan, BASIC, by the API provider
